acc,gyro
1.16791,0.41391
0.97147,0.37205
0.90239,0.34299
0.8598,0.27544
0.78129,0.24394
0.49154,0.22205
0.44807,0.2225
0.43617,0.22807
0.50477,0.30902
0.50385,0.3939
0.60972,0.45512
0.7436,0.51818
0.87086,0.5799
0.9435,0.62624
1.04187,0.66028
1.18747,0.68548
1.2976,0.70736
1.41313,0.73
1.54755,0.75666
1.74734,0.77909
1.82912,0.77977
1.8855,0.7344
1.79123,0.62843
1.6731,0.53096
1.74005,0.41548
1.78346,0.22467
1.65504,0.07767
1.30505,0.23172
1.98307,0.26342
1.46691,0.20573
1.6055,0.33805
1.64682,0.32467
1.30187,0.27864
1.14285,0.27656
0.87951,0.26662
1.01031,0.22291
0.96504,0.24494
1.00368,0.20968
1.022,0.18361
1.07544,0.17176
1.01867,0.13851
1.01902,0.11876
1.03135,0.10289
1.02925,0.09386
1.04017,0.08989
1.0278,0.09033
1.02213,0.09217
1.00226,0.09733
0.98803,0.10422
0.98646,0.1103
0.99874,0.11901
1.00967,0.13028
0.99304,0.13139
0.99691,0.1251
0.99158,0.11847
0.97042,0.10721
1.00291,0.09811
1.01533,0.09185
0.98835,0.09236
0.98182,0.09434
0.99726,0.10011
1.00229,0.11701
1.01798,0.14422
1.05012,0.17269
1.09509,0.19869
1.1764,0.21894
1.22942,0.24078
1.26474,0.26079
1.26482,0.27753
1.23292,0.29566
1.26585,0.31641
1.32123,0.35448
1.25627,0.37448
1.14737,0.37759
1.1844,0.37124
1.3509,0.39621
1.29687,0.40885
1.04315,0.37001
0.95526,0.33479
0.94561,0.29032
0.71871,0.24142
0.56772,0.24904
0.46155,0.2369
0.40491,0.20518
0.42974,0.24826
0.50225,0.33181
0.57551,0.39927
0.65458,0.46697
0.79106,0.5323
0.91037,0.59055
1.05162,0.63281
1.19947,0.66722
1.31692,0.68973
1.44737,0.70659
1.56032,0.71735
1.65164,0.71549
1.70932,0.69739
1.69711,0.66307
1.64645,0.62021
1.57546,0.5579
1.38708,0.4756
1.35537,0.37951
1.29398,0.27434
1.18215,0.19104
1.14375,0.22441
1.45197,0.24197
2.19893,0.16289
1.05947,0.37426
1.51398,0.40432
1.47348,0.32537
1.26326,0.3015
1.05527,0.27461
0.93446,0.26199
1.03028,0.19846
0.95122,0.21489
0.94997,0.20292
0.97658,0.17355
1.01049,0.16572
0.99456,0.15501
0.98801,0.14093
1.0274,0.12678
1.02625,0.11711
1.02131,0.10718
