acc,gyro
1.10607,0.2804
1.03759,0.31594
1.03453,0.3203
1.10542,0.33101
1.09635,0.36807
1.1868,0.39256
1.29182,0.43541
1.42941,0.47798
1.63624,0.50243
1.68954,0.50877
1.51552,0.50304
1.18197,0.4505
0.93589,0.38847
0.89915,0.35479
0.83853,0.40479
0.94505,0.38405
1.19424,0.32978
0.97415,0.21502
0.19439,0.11808
0.16504,0.2098
0.3317,0.2639
0.40923,0.30871
0.36574,0.34156
0.42328,0.36339
0.54995,0.39655
0.67411,0.43512
0.76833,0.46149
0.82607,0.47489
0.88343,0.48454
0.90448,0.49581
1.04796,0.50892
